hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
2 -1 -4,0.007841163984474871,0.00029441439738771746,0.7405680648081231,6.439524e-05,21
3 -1 -4,0.2885653740864042,0.001410004725847757,0.8075896026475351,2.6101103e-05,21
4 -1 -4,0.032638502517775,0.0004924049680486288,0.9201642950137568,1.1396033e-07,21
5 -1 -4,0.0015953141307920404,0.00017074954801037676,1.0639291090833678,1.1970917e-06,21
6 -1 -4,0.0008733565796322255,0.00013517183308316995,1.2279777784287058,6.656142e-09,21
-6 -1 -3,0.00544031402699435,0.0003179450048841275,1.592257032665767,1.9342413e-06,21
-5 -1 -3,0.01338588627586946,0.00048028740969718414,1.3942324616421875,0.00042785835,21
-4 -1 -3,0.2987425731813635,0.0015889970315739422,1.2013439607136176,0.0015843213,21
-3 -1 -3,0.025654726237585492,0.0005888992456960829,1.0165195141325785,0.0003290168,21
-2 -1 -3,0.010525250126600305,0.0004166467447118834,0.8450668548136232,3.5719015e-05,21
-7 -1 -2,0.00165148699818866,0.0001955717557186656,1.6770892878217525,2.0588855e-06,21
-6 -1 -2,0.0066670054573161825,0.00029784300885925025,1.4701231786633508,4.0685877e-06,21
-5 -1 -2,0.008187829481343141,0.0003413347105392417,1.2651629528969786,4.5509492e-05,21
-4 -1 -2,0.2252295502347472,0.001306160068812702,1.0633691222457868,0.005572188,21
-7 -1 -1,0.0011855246090232223,0.00016917614411590624,1.575939781461024,7.6126975e-07,21
-6 -1 -1,0.0001845579284573719,0.0001800255858956881,1.364915130630732,3.6693314e-06,21
4 0 -1,0.0005606014592358293,0.0002159555554261346,0.8004458885045586,1.3524523e-05,21
5 0 -1,0.007427476178430202,0.00028131052614720166,1.0090969892487285,7.165891e-07,21
6 0 -1,4.912777533182619e-05,0.0001332931418658917,1.2192544044705556,1.1015204e-06,21
-2 0 0,0.17719362327112267,0.0011834580486842162,0.4260081121833359,0.00036958483,21
-1 0 0,0.006884463965716139,0.0009359874480882391,0.2130040560916679,7.913768e-05,21
1 0 0,0.0059539012385177925,0.0008746246962038883,0.2130040560916679,0.00018835002,21
2 0 0,0.17864521752379292,0.0011887888350132435,0.4260081121833359,0.00037051167,21
3 0 0,0.004251689577462619,0.00032975727591276445,0.639012168275004,2.0145077e-05,21
4 0 0,0.00872478291488148,0.00037010216980381486,0.8520162243666719,1.8455942e-06,21
5 0 0,0.0010848972106977564,0.00021304358403935334,1.0650202804583395,8.412596e-08,21
6 0 0,0.0008006747131637733,0.0001499195591388042,1.278024336550008,1.06984416e-07,21
-6 0 1,0.0003743057414024749,0.00015170431579521852,1.2192544044705558,9.4135906e-08,21
-5 0 1,0.010493969917832623,0.0003170995938363523,1.0090969892487285,1.949983e-06,21
-4 0 1,0.0008164792030291267,0.0002173645738390933,0.8004458885045584,5.8254966e-07,21
-3 0 1,0.09870700016316433,0.0008537007727714519,0.5948881936631963,5.2143596e-06,21
5 0 1,0.002067429233694064,0.00022696938268742837,1.1515255589330635,2.4211788e-06,21
6 0 1,0.00030932650892486353,0.00016241285573370453,1.3623004653229611,7.940162e-08,21
-7 0 2,0.0001724403701059272,0.0001200014015036481,1.3942167833073604,1.6737867e-07,21
-6 0 2,0.0001070149484642122,0.00013589982592986525,1.189776387326393,1.805754e-07,21
-5 0 2,-1.5099980658873917e-05,0.00017413119220147764,0.9889573907130516,9.626462e-06,21
-7 0 3,0.00035704526584373104,0.00012190357636114231,1.384848367500869,2.3489343e-07,21
-1 1 4,0.027762077659646715,0.0004762247399398199,0.7317257729135266,0.00022227815,21
0 1 4,0.07426778714315788,0.0007450419694921212,0.7830361490385692,3.9317115e-06,21
1 1 4,0.009904694933893083,0.0003609670337597994,0.8840871396414562,1.4447631e-05,21
